song,artist,album,release_date,popularity
"Sitaare (From ""Ikkis"")",Arijit Singh,"Sitaare (From ""Ikkis"")",2025-12-03,50
"Baaton Ko Teri (From ""All Is Well"")",Arijit Singh,Love Forever With Arijit Singh,2017-06-07,50
"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,Love Forever With Arijit Singh,2017-06-07,50
Phir Bhi Tumko Chaahunga,Mithoon,The Arijit Singh Collection,2023-05-26,50
Darkhaast,Mithoon,Shivaay,2016-10-07,50
Arijit Singh Love Mashup - By DJ Raahul Pai & DJ Saquib,Arijit Singh,Arijit Singh Love Mashup (By DJ Raahul Pai & DJ Saquib),2024-04-21,50
Zaalima,Arijit Singh,The Arijit Singh Collection,2023-05-26,50
"Satranga (From ""ANIMAL"")",Arijit Singh,"Satranga (From ""ANIMAL"")",2023-10-27,50
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2019-05-31,50
Gehra Hua,Shashwat Sachdev,Dhurandhar,2025-12-05,50
